BysYes,BysNo,Total,Dust,Race,Sex,Smoke,Employ
3,37,40,1,1,1,1,1
0,74,74,2,1,1,1,1
2,258,260,3,1,1,1,1
25,139,164,1,2,1,1,1
0,88,88,2,2,1,1,1
3,242,245,3,2,1,1,1
0,5,5,1,1,2,1,1
1,93,94,2,1,2,1,1
3,180,183,3,1,2,1,1
2,22,24,1,2,2,1,1
2,145,147,2,2,2,1,1
3,260,263,3,2,2,1,1
0,16,16,1,1,1,2,1
0,35,35,2,1,1,2,1
0,134,134,3,1,1,2,1
6,75,81,1,2,1,2,1
1,47,48,2,2,1,2,1
1,122,123,3,2,1,2,1
0,4,4,1,1,2,2,1
1,54,55,2,1,2,2,1
2,169,171,3,1,2,2,1
1,24,25,1,2,2,2,1
3,142,145,2,2,2,2,1
4,301,305,3,2,2,2,1
8,21,29,1,1,1,1,2
1,50,51,2,1,1,1,2
1,187,188,3,1,1,1,2
8,30,38,1,2,1,1,2
0,5,5,2,2,1,1,2
0,33,33,3,2,1,1,2
0,0,0,1,1,2,1,2
1,33,34,2,1,2,1,2
2,94,96,3,1,2,1,2
0,0,0,1,2,2,1,2
0,4,4,2,2,2,1,2
0,3,3,3,2,2,1,2
2,8,10,1,1,1,2,2
1,16,17,2,1,1,2,2
0,58,58,3,1,1,2,2
1,9,10,1,2,1,2,2
0,0,0,2,2,1,2,2
0,7,7,3,2,1,2,2
0,0,0,1,1,2,2,2
0,30,30,2,1,2,2,2
1,90,91,3,1,2,2,2
0,0,0,1,2,2,2,2
0,4,4,2,2,2,2,2
0,4,4,3,2,2,2,2
31,77,108,1,1,1,1,3
1,141,142,2,1,1,1,3
12,495,507,3,1,1,1,3
10,31,41,1,2,1,1,3
0,1,1,2,2,1,1,3
0,45,45,3,2,1,1,3
0,1,1,1,1,2,1,3
3,91,94,2,1,2,1,3
3,176,179,3,1,2,1,3
0,1,1,1,2,2,1,3
0,0,0,2,2,2,1,3
0,2,2,3,2,2,1,3
5,47,52,1,1,1,2,3
0,39,39,2,1,1,2,3
3,182,185,3,1,1,2,3
3,15,18,1,2,1,2,3
0,1,1,2,2,1,2,3
0,23,23,3,2,1,2,3
0,2,2,1,1,2,2,3
3,187,190,2,1,2,2,3
2,340,342,3,1,2,2,3
0,0,0,1,2,2,2,3
0,2,2,2,2,2,2,3
0,3,3,3,2,2,2,3
