Cerio,Conc,Strain
82,0,1
106,0,1
63,0,1
99,0,1
101,0,1
45,.5,1
34,.5,1
26,.5,1
44,.5,1
42,.5,1
31,.75,1
22,.75,1
16,.75,1
30,.75,1
29,.75,1
22,1,1
14,1,1
10,1,1
21,1,1
20,1,1
15,1.25,1
8,1.25,1
6,1.25,1
14,1.25,1
13,1.25,1
10,1.5,1
8,1.5,1
11,1.5,1
10,1.5,1
10,1.5,1
8,1.75,1
8,1.75,1
3,1.75,1
8,1.75,1
1,1.75,1
58,0,2
58,0,2
62,0,2
58,0,2
73,0,2
27,.5,2
28,.5,2
31,.5,2
28,.5,2
38,.5,2
19,.75,2
20,.75,2
22,.75,2
20,.75,2
28,.75,2
14,1,2
14,1,2
15,1,2
14,1,2
21,1,2
9,1.25,2
10,1.25,2
12,1.25,2
10,1.25,2
16,1.25,2
7,1.5,2
3,1.5,2
1,1.5,2
8,1.5,2
7,1.5,2
4,1.75,2
3,1.75,2
2,1.75,2
8,1.75,2
4,1.75,2
