Year,Quar,Y,X1,X2
1952,3,112.7,105761,96.21
1952,4,115,121874,93.74
1953,1,121.4,126260,91.37
1953,2,118.4,145248,86.31
1953,3,122.7,160370,84.98
1953,4,128.8,163648,86.46
1954,1,135.7,178195,90.04
1954,2,148.5,187197,94.74
1954,3,165.4,195916,92.43
1954,4,178.5,199253,92.41
1955,1,187.3,227616,91.65
1955,2,195.9,215363,89.38
1955,3,205.2,231728,91.05
1955,4,191.5,231767,89.89
1956,1,183,211211,90.16
1956,2,184.5,185200,86.78
1956,3,181.1,152404,88.45
1956,4,173.7,156163,90.69
1957,1,185.4,151567,86.03
1957,2,201.8,213683,84.85
1957,3,198,244543,84.07
1957,4,168,253111,81.96
1958,1,161.6,266580,80.03
1958,2,170.2,253543,79.8
1958,3,184.5,261675,80.19
1958,4,211,249407,80.13
1959,1,218.3,246248,80.42
1959,2,231.7,293062,82.67
1959,3,247.4,285809,82.78
1959,4,301.9,366265,82.61
1960,1,323.8,374241,82.47
1960,2,314.1,375764,81.86
1960,3,321,354411,79.7
1960,4,312.9,249527,77.89
1961,1,323.7,206165,77.61
1961,2,349.3,258410,78.9
1961,3,310.4,279342,79.72
1961,4,295.8,264824,78.08
1962,1,301.2,312983,77.54
1962,2,285.8,300932,76.99
1962,3,271.7,323424,76.25
1962,4,283.6,312780,78.13
1963,1,295.7,363336,80.38
1963,2,309.3,378275,81.78
1963,3,295.7,414457,82.81
1963,4,342,459158,84.99
1964,1,335.1,460397,86.31
1964,2,344.4,462279,85.95
1964,3,360.9,434255,90.73
1964,4,346.5,475890,92.42
1965,1,340.6,439365,87.18
1965,2,340.3,431666,85.2
1965,3,323.3,399160,85.44
1965,4,345.6,449564,87.85
1966,1,349.3,437555,89.95
1966,2,359.7,426616,90.2
1966,3,320,399254,88.89
1966,4,299.9,334587,83.25
1967,1,318.5,367997,81.21
1967,2,343.1,393808,79.9
1967,3,360.8,375968,78.7
1967,4,397.8,381692,81.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
