Year,IncVote,JulPop,Peace,FutProb,LeadIn,GNPCha,Term2
1948,52.37,39,*,46.67,0,2.42,0
1952,44.6,32,82.41,*,3.88,.07,0
1956,57.76,69,122.84,56.90,0,.26,1
1960,49.91,49,101.80,49.30,-3.08,1.42,0
1964,61.34,74,140.37,60.32,3.96,3.11,1
1968,49.6,40,85.94,46.55,0,2.88,0
1972,61.79,56,106.68,57.35,5.06,4.18,1
1976,48.95,45,80.40,34.85,6.07,2.33,0
1980,44.7,21,113.43,47.37,-5.67,-1.38,1
1984,59.17,52,104.51,51.32,0,3.95,1
1988,53.9,51,106.12,53.52,3.23,1.91,0
1992,46.55,32,94.81,45.95,2.48,1.46,0
1996,54.66,57,109.30,52.56,1.69,1.85,1
