States,Votes,%Bush,UnEmpR,Pop,%Male,%Male>18,%Pop>65,%NonMetro,%PopPov,NuHouse,%Inc>50,%Inc>75,%Inc>100
Alabama,1672551,56.47,4.6,4447100,48.27,47.26,13,32.68,16.1,1472906,14.3,4.3,2
Alaska,285560,58.62,6.6,626932,51.69,51.83,5.7,58.48,9.4,85359,36.3,16.8,6.9
Arizona,1532016,51.02,3.9,5130632,49.92,49.42,13,14.03,13.9,1571330,11,4.2,1.8
Arkansas,921781,51.31,4.4,2673400,48.8,47.94,14,53.66,15.8,836388,10,2.9,1.6
California,10965856,41.65,4.9,33871648,49.82,49.26,10.6,3.31,14.2,9709296,23.1,10,4.4
Colorado,1741368,50.75,2.7,4301261,50.35,50,9.7,18.83,9.3,1566037,15.6,6,2.4
Connecticut,1459525,38.44,2.3,3405565,48.43,47.51,13.8,8.55,7.9,1024529,37.2,15.4,6.3
Delaware,327622,41.9,4,783600,48.56,47.64,13,19.99,9.2,236751,31.3,14.3,5.8
District of Columbia,201894,8.95,5.8,572059,47.09,46.27,12.2,0,20.2,262959,21.4,10.8,6.4
Florida,5963110,48.85,3.6,15982378,48.8,48.05,17.6,7.16,12.5,5613696,18.4,7,3.5
Georgia,2596804,54.67,3.7,8186453,49.19,48.45,9.6,30.78,13,2152584,18.4,6.9,4
Hawaii,367951,37.46,4.3,1211537,50.25,49.85,13.3,27.68,10.7,232147,22.5,10.7,5.8
Idaho,501621,67.17,4.9,1293953,50.12,49.62,11.3,66.59,11.8,274713,15.6,4.5,2.2
Illinois,4742123,42.58,4.4,12419293,48.95,48.16,12.1,15.12,10.7,4563760,19.1,7.3,3.5
Indiana,2199302,56.65,3.2,6080485,49.06,48.27,12.4,27.8,9.5,1829081,15,4.2,1.7
Iowa,1315563,48.22,2.6,2926324,49.06,48.29,14.9,54.68,9.1,1201408,14.3,4.2,1.8
Kansas,1072216,58.04,3.7,2688418,49.42,48.72,13.3,43.42,9.9,1052913,16.3,4.9,2.6
Kentucky,1544187,56.5,4.1,4041769,48.88,48.05,12.5,51.18,15.8,1573260,11.9,3.5,1.6
Louisiana,1765656,52.55,5.5,4468976,48.4,47.4,11.6,24.59,19.6,1675045,13.1,5.5,3.7
Maine,651817,43.97,3.5,1274923,48.67,47.84,14.4,59.66,10.9,536617,21.2,6.7,3
Maryland,2025480,40.18,3.9,5296486,48.29,47.31,11.3,7.28,8.5,1768635,27.6,12.8,5.6
Massachusetts,2702984,32.5,2.6,6349097,48.19,47.23,13.5,1.51,9.3,2304767,35,16.5,7.4
Michigan,4232711,46.14,3.6,9938444,49.03,48.24,12.3,17.8,10.5,3770974,20.2,7.3,3.2
Minnesota,2438685,45.5,3.3,4919479,49.52,48.88,12.1,29.6,7.9,1876964,19.3,6.1,2.9
Mississippi,994926,57.62,5.7,2844658,48.29,47.26,12.1,67.94,19.9,973833,11.7,3.4,1.8
