Wt,Energy
22.1,1.31
26.2,1.27
33.2,1.25
34.3,1.14
49,1.78
52.6,1.7
27.6,1.39
31,1.47
32.6,1.75
44.6,2.25
52.6,3.73
28.6,2.13
34.4,1.85
25.1,1.46
27,1.21
33.2,1.32
34.9,1
49.2,2.53
53.3,2.66
28.4,1.27
31,1.5
33.1,1.82
52.1,2.67
46.7,2.21
29.2,1.8
34.4,1.63
25.1,1
30,1.23
33.2,1.47
42.6,1.81
51.8,1.87
23.9,1.37
28.9,1.74
31.8,1.6
34.1,1.36
52.4,2.28
37.1,2.11
26.2,1.05
26.4,1.27
25.7,1.2
30.2,1.01
33.9,1.03
43.7,1.73
51.8,1.92
25.1,1.39
29.3,1.54
32,1.67
34.2,1.59
52.7,3.15
31.8,1.39
45.9,2.36
27.5,.94
25.9,1.36
30.2,1.12
33.8,1.46
44.9,1.93
52.5,1.65
26.7,1.26
29.7,1.44
32.1,1.8
44.4,2.33
53.1,2.73
36.1,1.79
36.8,2.31
