County,GORE,BUSH,BUCHANAN,NADER,BROWNE,HAGELIN,HARRIS,MCREYNOLDS,MOOREHEAD,PHILLIPS,Total,GOREpct,BUSHpct,BUCHpct,NADERpct,BROWNpct,HAGELpct,HARRSpct,MCRpct,MORHDpct,PHLPSpct
ALACHUA,47300,34062,262,3215,658,42,4,658,21,20,86242,.548457,.394958,.003038,.0372788,.0076297,.000487,4.64e-05,.0076297,.0002435,.0002319
BAKER,2392,5610,73,53,17,3,0,0,3,3,8154,.293353,.688006,.0089527,.0064999,.0020849,.0003679,0,0,.0003679,.0003679
BAY,18850,38637,248,828,171,18,5,3,37,18,58815,.320496,.656924,.0042166,.014078,.0029074,.000306,8.5e-05,5.1e-05,.0006291,.000306
BRADFORD,3072,5413,65,84,28,2,0,0,3,2,8669,.354366,.624409,.007498,.0096897,.0032299,.0002307,0,0,.0003461,.0002307
BREVARD,97318,115185,570,4470,643,39,11,11,76,72,218395,.445605,.527416,.00261,.0204675,.0029442,.0001786,5.04e-05,5.04e-05,.000348,.0003297
BROWARD,386518,177279,789,7099,1212,128,49,35,123,74,573306,.674191,.309222,.0013762,.0123826,.0021141,.0002233,8.55e-05,6.1e-05,.0002145,.0001291
CALHOUN,2155,2873,90,39,10,1,0,1,3,2,5174,.416506,.555276,.0173947,.0075377,.0019327,.0001933,0,.0001933,.0005798,.0003865
CHARLOTTE,29641,35419,182,1461,127,15,6,3,12,19,66885,.443164,.529551,.0027211,.0218435,.0018988,.0002243,8.97e-05,4.49e-05,.0001794,.0002841
CITRUS,25501,29744,270,1378,194,16,5,0,28,18,57154,.44618,.520419,.0047241,.0241103,.0033943,.0002799,8.75e-05,0,.0004899,.0003149
CLAY,14630,41745,186,562,204,14,1,3,9,6,57360,.255056,.727772,.0032427,.0097978,.0035565,.0002441,1.74e-05,5.23e-05,.0001569,.0001046
COLLIER,29905,60426,122,1400,185,34,7,4,29,10,92122,.324624,.655935,.0013243,.0151972,.0020082,.0003691,7.6e-05,4.34e-05,.0003148,.0001086
COLUMBIA,7047,10964,89,258,127,7,1,2,5,8,18508,.380754,.592392,.0048087,.0139399,.0068619,.0003782,5.4e-05,.0001081,.0002702,.0004322
DADE,328702,289456,561,5355,759,119,88,36,124,69,625269,.525697,.46293,.0008972,.0085643,.0012139,.0001903,.0001407,5.76e-05,.0001983,.0001104
DE SOTO,3322,4256,36,157,23,0,0,3,2,8,7807,.425516,.545152,.0046112,.0201102,.0029461,0,0,.0003843,.0002562,.0010247
DIXIE,1825,2698,29,75,32,2,0,0,2,3,4666,.391127,.578225,.0062152,.0160737,.0068581,.0004286,0,0,.0004286,.0006429
DUVAL,107680,152082,650,2752,954,160,36,16,41,57,264428,.407219,.575136,.0024581,.0104074,.0036078,.0006051,.0001361,6.05e-05,.0001551,.0002156
ESCAMBIA,40958,73029,504,1729,297,24,6,3,20,110,116680,.351028,.625891,.0043195,.0148183,.0025454,.0002057,5.14e-05,2.57e-05,.0001714,.0009427
FLAGLER,13891,12608,83,435,60,4,1,3,12,3,27100,.512583,.46524,.0030627,.0160517,.002214,.0001476,3.69e-05,.0001107,.0004428,.0001107
FRANKLIN,2042,2448,33,85,17,3,1,0,2,3,4634,.440656,.528269,.0071213,.0183427,.0036685,.0006474,.0002158,0,.0004316,.0006474
GADSDEN,9565,4750,39,139,24,4,7,3,12,6,14549,.657434,.326483,.0026806,.0095539,.0016496,.0002749,.0004811,.0002062,.0008248,.0004124
GILCHRIST,1910,3300,29,97,52,1,0,0,4,2,5395,.354032,.611677,.0053753,.0179796,.0096386,.0001854,0,0,.0007414,.0003707
GLADES,1420,1840,9,56,12,3,0,1,1,0,3342,.424895,.550569,.002693,.0167564,.0035907,.0008977,0,.0002992,.0002992,0
GULF,2389,3546,71,86,21,4,2,2,9,2,6132,.389596,.578278,.0115786,.0140248,.0034247,.0006523,.0003262,.0003262,.0014677,.0003262
HAMILTON,1718,2153,24,39,11,2,6,9,4,7,3973,.432419,.541908,.0060408,.0098163,.0027687,.0005034,.0015102,.0022653,.0010068,.0017619
HARDEE,2341,3764,30,75,17,2,0,0,3,2,6234,.375521,.603786,.0048123,.0120308,.002727,.0003208,0,0,.0004812,.0003208
HENDRY,3239,4743,22,103,11,1,3,2,2,7,8133,.398254,.58318,.002705,.0126645,.0013525,.000123,.0003689,.0002459,.0002459,.0008607
HERNANDO,32644,30646,242,1501,116,26,8,4,22,10,65219,.500529,.469894,.0037106,.0230148,.0017786,.0003987,.0001227,6.13e-05,.0003373,.0001533
HIGHLANDS,14152,20196,99,409,51,14,5,3,7,5,34941,.405026,.578003,.0028333,.0117054,.0014596,.0004007,.0001431,8.59e-05,.0002003,.0001431
HILLSBOROUGH,166581,176967,836,7348,1104,215,35,29,150,66,353331,.471459,.500853,.0023661,.0207964,.0031245,.0006085,9.91e-05,8.21e-05,.0004245,.0001868
HOLMES,2154,4985,76,91,18,7,1,3,2,6,7343,.293341,.678878,.01035,.0123928,.0024513,.0009533,.0001362,.0004086,.0002724,.0008171
INDIAN RIVER,19769,28627,105,950,123,13,4,2,10,13,49616,.39844,.576971,.0021163,.019147,.002479,.000262,8.06e-05,4.03e-05,.0002015,.000262
JACKSON,6868,9138,102,138,40,2,0,1,7,4,16300,.42135,.560613,.0062577,.0084663,.002454,.0001227,0,6.13e-05,.0004294,.0002454
JEFFERSON,3038,2481,29,76,14,1,2,1,0,0,5642,.538462,.439738,.00514,.0134704,.0024814,.0001772,.0003545,.0001772,0,0
LAFAYETTE,788,1669,10,26,6,0,3,1,0,1,2504,.314696,.666534,.0039936,.0103834,.0023962,0,.0011981,.0003994,0,.0003994
LAKE,36555,49963,289,1459,203,36,4,1,14,21,88545,.412841,.564267,.0032639,.0164775,.0022926,.0004066,4.52e-05,1.13e-05,.0001581,.0002372
LEE,73560,106141,305,3587,538,81,30,5,96,34,184377,.398965,.575674,.0016542,.0194547,.0029179,.0004393,.0001627,2.71e-05,.0005207,.0001844
LEON,61425,39053,282,1932,330,28,9,7,31,16,103113,.595706,.37874,.0027349,.0187367,.0032004,.0002715,8.73e-05,6.79e-05,.0003006,.0001552
