NA,HT,CAL,HTCAL
101.51,36.5,1.1,40.15
79.54,33,1,33
20.62,22,.3,6.6
53.07,26,.5,13
43.02,24,.5,12
31.88,24,.4,9.6
26.78,21,.4,8.4
29.93,26,.4,10.4
18.9,16.5,.36,5.94
54.3,34.5,.89,30.705
51.3,23,.47,10.81
35.5,20,.47,9.4
13.3,17,.37,6.29
25.1,19,.51,9.69
18.7,17.5,.42,7.35
21.5,16.5,.33,5.445
14.8,16.5,.31,5.115
21.2,19,.48,9.12
21.6,16,.39,6.24
20.7,17,.4,6.8
30.9,17,.46,7.82
32.5,19,.44,8.36
11.18,17,.37,6.29
186,51,.7,35.7
163,41,.73,29.93
130.5,37,.65,24.05
139,44,.69,30.36
132,43,.66,28.38
171,36,.7,25.2
155,40,.62,24.8
93,41.5,.59,24.485
161,45.5,.8,36.4
87,36.5,.53,19.345
127,41,.64,26.24
140,39,.64,24.96
