AgeRef,HtRef,WtRef,AgeFo,HtFo,WtFo,BirthWt,HtMom,WtMom,HtDad,WtDad
112,56.5,75.0,199,72,165,9.38,64,135,75,230
89,50.0,64.0,184,62,101,8.41,68,127,70,181
100,53.0,85.0,162,63,92,7.4,68,250,69,190
133,56.8,91.8,206,67,147,7,65,138,70,181
111,52.5,67.3,187,69,139,8.88,66,179,72,210
82,50.0,56.0,155,60,90,7.69,63,125,74,170
102,50.0,57.5,178,64,104,8.88,67,138,71,165
97,51.0,73.0,160,68,167,6.75,65,138,70,181
144,60.3,95.0,214,73,170,7.19,67,190,70,180
118,59.0,125.0,182,75,232,8,66,140,73,200
74,50.0,65.8,149,64,115,7.4,65,138,70,181
103,51.8,72.0,172,62,120,7.13,65,138,70,181
96,51.5,60.0,160,69,132,7.4,65,138,70,181
120,54.5,62.3,190,69,125,7,62,120,74,195
119,64.5,66.5,185,68,121,7.19,63,130,68,175
101,50.5,60.0,168,58,93,7.38,63,114,67,145
80,*,*,144,*,*,6.47,65,138,70,181
151,62.8,152.8,217,*,*,7.97,63,110,67,165
105,50.0,64.5,174,*,*,8.63,63,170,69,165
123,56.5,68.0,188,*,*,7.34,66,147,72,160
94,51.0,56.0,161,61,109,7.53,62,105,70,181
95,*,*,173,69,136,8.09,65,116,70,200
150,*,*,215,*,*,7.13,65,138,70,181
139,56.5,77.0,221,*,*,8.53,66,128,74,205
107,60.5,88.0,175,75,162,6.44,69,130,70,170
136,62.3,111.5,210,73,157,5.81,65,138,70,181
95,56.0,67.0,161,*,*,7.69,68,150,72,185
111,53.3,66.0,185,69,150,7.4,65,138,70,181
112,53.5,60.3,189,68,129,6.19,65,138,70,181
75,46.0,40.3,150,59,112,7.44,61,115,71,130
96,50.0,87.0,162,*,*,5.38,65,138,70,181
137,58.0,83.0,208,71,147,8.38,65,126,70,195
113,52.5,57.0,190,66,114,5.81,63,115,70,181
128,53.0,71.0,196,62,102,7.4,65,138,70,181
94,50.0,56.5,179,66,117,7.63,67,118,70,181
146,67.0,138.0,215,77,225,9.81,68,150,70,181
144,*,102.0,211,72,205,7.25,63,130,69,154
113,56.3,80.0,174,71,150,7.19,69,150,70,190
115,52.0,*,181,60,105,7.94,68,150,72,185
110,57.5,75.0,172,72,148,4.44,65,118,73,190
90,49.5,57.0,167,66,130,6.44,62,115,70,181
90,46.8,55.3,163,60,100,9.19,66,130,70,185
81,*,66.0,145,60,121,6.92,64,139,70,181
114,*,*,176,70,148,7.38,67,180,76,200
109,52.3,75.0,190,*,160,8.5,67,170,68,225
111,48.0,60.0,167,61,106,7,65,138,73,208
92,50.0,53.5,157,64,100,5.03,62,160,72,190
73,46.5,46.0,147,62,90,8.47,66,150,70,181
76,45.0,40.0,148,*,70,6.81,62,108,68,150
90,52.3,62.0,153,63,100,8.63,65,138,70,181
115,59.3,111.5,174,74,145,6.69,64,130,72,155
81,43.8,49.0,156,59,101,5.44,67,135,70,181
106,56.8,67.3,156,67,107,6.81,69,120,65,195
85,45.0,43.8,162,56,84,3.81,61,123,70,135
112,*,72.0,196,*,114,5.5,65,118,66,170
98,52.5,51.5,165,64,88,6.69,64,100,68,150
148,58.0,79.5,205,70,149,8,60,118,65,165
142,55.0,90.0,219,68,143,7.84,61,115,72,181
90,*,*,151,61,100,7.4,65,138,70,181
139,54.0,66.0,201,69,130,8.25,64,115,68,160
81,54.0,42.0,144,56,70,6.5,65,137,69,170
97,53.0,66.0,160,62,99,8.38,66,180,70,181
87,*,*,162,64,110,6.94,67,140,69,170
76,*,*,145,*,92,6,65,138,70,181
134,58.5,90.8,183,69,159,8.97,66,163,69,165
124,55.5,70.0,192,69,115,5.81,64,105,70,181
106,53.3,80.0,177,61,125,9.19,65,170,71,205
115,58.3,96.8,177,71,175,9.06,66,135,69,175
116,54.0,76.0,179,68,162,10.19,64,122,67,155
143,60.0,*,203,75,142,6,66,120,75,196
133,*,*,190,72,161,10.81,63,135,74,170
109,54.8,91.0,181,70,202,8,66,150,70,175
85,43.5,44.0,149,55,85,5.97,62,130,70,181
91,52.3,66.0,153,62,114,5.38,65,125,74,160
122,56.4,83.6,171,67,130,7.75,66,110,68,180
107,57.5,75.0,146,64,104,11.5,64,188,73,160
130,57.5,90.0,169,62,126,7.13,64,125,69,170
98,*,*,144,61,99,6.94,65,138,70,181
153,57.2,81.4,186,66,115,8.63,65,138,68,160
92,48.0,56.0,144,60,95,7.03,65,130,70,175
111,55.1,72.6,162,64,116,7.63,64,240,70,190
128,*,*,163,60,128,7.5,63,127,70,200
112,54.4,74.8,161,61,115,8.31,65,140,70,181
128,*,75.0,179,66,110,8.69,65,138,70,170
126,57.5,74.8,167,64,109,7.25,67,155,73,280
116,53.6,66.0,163,57,105,4.78,67,125,70,181
104,52.0,68.2,154,60,92,6.45,66,107,71,210
141,*,59.4,189,53,99,3,65,138,70,181
120,*,*,153,60,84,6.38,64,120,71,150
99,49.0,54.0,146,56,92,7.38,61,125,70,181
114,53.0,69.3,166,67,135,7.13,63,140,67,190
143,58.0,90.2,183,66,133,7.4,65,138,68,245
111,58.5,75.0,147,65,100,8.08,66,135,71,190
