Year,HogPr,HogSu,CornPr,CornSu,FarmWa
1867,509,538,944,900,719
1868,663,522,841,964,716
1869,751,513,911,893,724
1870,739,529,768,1051,732
1871,598,565,718,1057,740
1872,556,594,634,1107,748
1873,594,600,735,1003,756
1874,667,584,858,1025,748
1875,776,554,673,1161,740
1876,754,553,609,1170,732
1877,689,595,604,1181,744
1878,498,637,457,1194,756
1879,643,641,612,1244,778
1880,681,647,642,1232,799
1881,728,634,849,1095,799
1882,829,629,733,1244,799
1883,751,638,672,1218,799
1884,704,662,594,1289,801
1885,633,675,559,1313,803
1886,663,658,604,1251,806
1887,709,629,678,1205,806
1888,763,625,571,1352,806
1889,681,648,490,1361,810
1890,627,682,747,1218,813
1891,667,676,651,1368,810
1892,804,655,645,1278,806
1893,782,640,609,1279,771
1894,707,668,705,1208,771
1895,653,678,453,1404,780
1896,639,692,382,1427,789
1897,672,710,466,1359,799
1898,669,727,506,1371,820
1899,729,712,525,1423,834
1900,784,708,595,1425,848
1901,842,705,829,1234,863
1902,886,680,654,1443,884
1903,784,682,673,1401,906
1904,770,713,691,1429,928
1905,783,726,660,1470,949
1906,877,729,643,1482,960
1907,777,752,754,1417,971
1908,810,766,813,1409,982
1909,957,720,790,1417,987
1910,970,682,712,1455,991
1911,903,743,831,1394,1004
1912,995,743,742,1469,1013
1913,1022,730,847,1357,1004
1914,998,723,850,1402,1013
1915,928,753,830,1452,1053
1916,1073,782,1056,1385,1149
1917,1294,760,1163,1464,1248
1918,1346,799,1182,1388,1316
1919,1301,808,1180,1428,1384
1920,1134,779,805,1487,1190
1921,1024,770,714,1467,1179
1922,1090,777,865,1432,1228
1923,1013,841,911,1459,1238
1924,1119,823,1027,1347,1246
1925,1195,746,846,1447,1253
1926,1235,717,869,1406,1253
1927,1120,744,928,1418,1253
1928,1112,791,924,1426,1255
1929,1129,771,903,1401,1223
1930,1055,746,777,1318,1114
1931,787,739,507,1411,982
1932,624,773,500,1467,929
1933,612,793,716,1380,978
1934,800,768,911,1161,1013
1935,1104,592,816,1362,1045
1936,1075,633,1019,1178,1100
1937,1052,634,714,1422,1097
1938,1048,649,687,1406,1090
1939,891,699,754,1412,1100
1940,921,786,791,1390,1188
1941,1193,735,876,1424,1303
1942,1352,782,962,1487,1422
1943,1243,869,1050,1472,1498
1944,1314,923,1037,1490,1544
1945,1380,774,1104,1458,1582
1946,1556,787,1193,1507,1607
1947,1632,754,1334,1372,1629
