STATE,T,Y,X1,X2,X3,X4
1,1,370,.13,.09,5800,89
1,2,390,.15,.09,5955,87
2,1,455,.08,.11,17648,87
2,2,450,.1,.16,17895,85
3,1,500,.03,.04,7332,79
3,2,480,.07,.05,7610,78
4,1,550,.06,.005,11731,80
4,2,600,.1,.005,11790,81
5,1,205,.3,.12,2932,44
5,2,230,.25,.13,3100,45
6,1,425,.04,.01,4148,36
6,2,445,.07,.02,4205,38
7,1,245,.2,.01,1574,25
7,2,200,.3,.01,1560,28
8,1,250,.07,.08,2471,38
8,2,275,.08,.1,2511,38
9,1,300,.09,.12,4060,52
9,2,290,.12,.2,4175,54
10,1,280,.1,.02,2902,37
10,2,270,.11,.05,2925,38
