District,4thmath,8thmath,11thmath,4th read,8th read,11th read,8th sci,11th sci,size,size(coded),small size,med size,large size,salary,experience,4th avg,8th avg,11th avg,Math avg,Read avg,Sci avg
Dubuque,68,71,78,*,*,*,70,59,9201,3,0,0,1,37730.4,14.51,*,*,*,72.3333,*,64.5
West Des Moines,88,88,81,83,81,79,85,85,8452,3,0,0,1,39109.8,10.72,85.5,84.6667,81.6667,85.6667,81,85
Ankeny,83,86,92,80,80,88,81,89,5610,3,0,0,1,39501.1,11.67,81.5,82.3333,89.6667,87,82.6667,85
Muscatine,68,70,73,65,63,64,65,71,5192,3,0,0,1,38558.6,14.53,66.5,66,69.3333,70.3333,64,68
Marshalltown,63,60,73,56,61,74,57,77,4724,3,0,0,1,39079,13.02,59.5,59.3333,74.6667,65.3333,63.6667,67
Ames,84,88,88,82,84,80,88,81,4702,3,0,0,1,39141.3,12.71,83,86.6667,83,86.6667,82,84.5
Linn-Mar,79,92,95,78,86,87,*,93,4574,3,0,0,1,42906.3,11.51,78.5,*,91.6667,88.6667,83.6667,*
Clinton,68,73,80,58,67,77,67,84,4530,3,0,0,1,36371.1,12.52,63,69,80.3333,73.6667,67.3333,75.5
Southeast Polk,67,80,78,67,75,77,81,80,4413,3,0,0,1,37834.4,11.01,67,78.6667,78.3333,75,73,80.5
Burlington,69,74,77,67,72,73,63,80,4412,3,0,0,1,36840,14.11,68,69.6667,76.6667,73.3333,70.6667,71.5
Bettendorf,83,81,82,77,77,85,78,67,4332,3,0,0,1,43232.6,3.91,80,78.6667,78,82,79.6667,72.5
Cedar Falls,77,83,81,73,75,80,79,82,4241,3,0,0,1,39491,12.88,75,79,81,80.3333,76,80.5
Johnston,87,85,87,83,81,75,84,78,4163,3,0,0,1,32586.9,6.45,85,83.3333,80,86.3333,79.6667,81
Mason City,68,75,80,63,66,80,87,90,4077,3,0,0,1,38219.7,12.48,65.5,76,83.3333,74.3333,69.6667,88.5
Fort Dodge,63,62,68,64,58,60,61,64,3916,3,0,0,1,36004.6,13.61,63.5,60.3333,64,64.3333,60.6667,62.5
Urbandale,87,87,84,79,73,80,78,90,3479,3,0,0,1,36046.3,10.56,83,79.3333,84.6667,86,77.3333,84
Newton,68,77,74,68,72,75,52,57,3437,3,0,0,1,37431.2,11.56,68,67,68.6667,73,71.6667,54.5
College,71,69,72,68,63,65,71,88,3297,3,0,0,1,39688.7,10.18,69.5,67.6667,75,70.6667,65.3333,79.5
Indianola,77,88,81,75,86,74,75,65,3156,3,0,0,1,36796.1,12.45,76,83,73.3333,82,78.3333,70
Pleasant Valley,85,85,86,80,83,67,85,83,3056,3,0,0,1,40102.7,11.75,82.5,84.3333,78.6667,85.3333,76.6667,84
North Polk,79,76,82,68,83,87,89,76,2916,3,0,0,1,38610,14.62,73.5,82.6667,81.6667,79,79.3333,82.5
Lewis Central,58,73,87,54,66,83,63,84,2709,3,0,0,1,38416.3,13.95,56,67.3333,84.6667,72.6667,67.6667,73.5
Western Dubuque,77,85,86,62,72,83,79,87,2670,3,0,0,1,38543.6,17.7,69.5,78.6667,85.3333,82.6667,72.3333,83
Osage,79,75,81,78,84,85,85,84,2642,3,0,0,1,38612.1,13.69,78.5,81.3333,83.3333,78.3333,82.3333,84.5
Fort Madison,71,74,84,70,65,67,72,51,2385,3,0,0,1,35398.5,13.33,70.5,70.3333,67.3333,76.3333,67.3333,61.5
Waukee,66,71,86,75,77,81,73,92,2353,3,0,0,1,32322.8,6.99,70.5,73.6667,86.3333,74.3333,77.6667,82.5
Boone,68,76,79,65,67,66,71,70,2237,3,0,0,1,36725.8,11.43,66.5,71.3333,71.6667,74.3333,66,70.5
Le Mars,83,82,81,84,76,72,80,77,2196,3,0,0,1,37087.9,11.51,83.5,79.3333,76.6667,82,77.3333,78.5
Keokuk,59,61,80,54,61,73,45,90,2156,3,0,0,1,39425.8,13.63,56.5,55.6667,81,66.6667,62.6667,67.5
Spencer,80,88,85,74,77,80,71,55,2118,3,0,0,1,37628.6,12.62,77,78.6667,73.3333,84.3333,77,63
Knoxville,67,62,82,64,62,73,*,*,2101,3,0,0,1,35078.6,12.18,65.5,*,*,70.3333,66.3333,*
Pella,88,89,84,83,81,78,88,77,2084,3,0,0,1,38122.4,14.16,85.5,86,79.6667,87,80.6667,82.5
Mount Pleasant,60,70,88,68,67,87,66,82,2060,3,0,0,1,40651.5,15.23,64,67.6667,85.6667,72.6667,74,74
Northwood-Kensett,76,79,87,49,77,73,77,78,2042,3,0,0,1,33065.3,10.44,62.5,77.6667,79.3333,80.6667,66.3333,77.5
Fairfield,78,89,82,78,83,85,85,95,1997,2,0,1,0,34181.8,12.14,78,85.6667,87.3333,83,82,90
Waverly-Shell Rock,91,85,81,80,76,73,91,83,1937,2,0,1,0,38481.4,15.83,85.5,84,79,85.6667,76.3333,87
Glenwood,74,77,70,73,75,76,76,64,1915,2,0,1,0,34618.1,9.58,73.5,76,70,73.6667,74.6667,70
Storm Lake,58,70,79,57,58,71,67,84,1886,2,0,1,0,36615.4,9.19,57.5,65,78,69,62,75.5
West Delaware County,65,78,74,67,77,72,81,81,1885,2,0,1,0,36459.1,11.76,66,78.6667,75.6667,72.3333,72,81
Marion Independent,80,*,80,78,76,77,82,79,1814,2,0,1,0,35080.9,9.63,79,*,78.6667,*,77,80.5
Vinton-Shellsburg,76,81,70,61,73,67,79,79,1779,2,0,1,0,34874.3,11.18,68.5,77.6667,72,75.6667,67,79
Grinnell-Newburg,*,78,91,73,80,92,81,94,1775,2,0,1,0,32485,12.3,*,79.6667,92.3333,*,81.6667,87.5
Carroll,70,76,79,65,67,60,75,71,1772,2,0,1,0,37041,12.23,67.5,72.6667,70,75,64,73
Perry,50,66,87,54,66,74,87,69,1732,2,0,1,0,34620.1,12.22,52,73,76.6667,67.6667,64.6667,78
Denison,50,63,79,51,66,76,66,60,1684,2,0,1,0,37490.9,12.7,50.5,65,71.6667,64,64.3333,63
Charles City,72,77,75,70,73,63,68,58,1683,2,0,1,0,36954.8,13.8,71,72.6667,65.3333,74.6667,68.6667,63
Harlan,77,80,85,81,73,75,73,83,1662,2,0,1,0,38454.5,12.79,79,75.3333,81,80.6667,76.3333,78
Winterset,71,75,82,73,73,80,81,80,1660,2,0,1,0,36267.5,13.15,72,76.3333,80.6667,76,75.3333,80.5
Centerville,70,63,73,60,57,72,64,74,1651,2,0,1,0,34735.7,13.16,65,61.3333,73,68.6667,63,69
Washington,88,64,97,80,70,94,71,93,1648,2,0,1,0,35552.8,12.78,84,68.3333,94.6667,83,81.3333,82
Decorah,82,93,87,73,82,83,*,*,1637,2,0,1,0,41148.7,15.44,77.5,*,*,87.3333,79.3333,*
Webster City,80,85,79,76,74,70,82,78,1635,2,0,1,0,35432.8,13.33,78,80.3333,75.6667,81.3333,73.3333,80
Atlantic,75,74,75,68,70,66,*,*,1625,2,0,1,0,36912.2,13.16,71.5,*,*,74.6667,68,*
Benton,81,82,72,79,70,76,76,78,1611,2,0,1,0,34036.6,11.94,80,76,75.3333,78.3333,75,77
Central Clinton,83,78,75,83,80,71,80,69,1596,2,0,1,0,33061,10.89,83,79.3333,71.6667,78.6667,78,74.5
Nevada,76,74,74,78,74,80,78,81,1585,2,0,1,0,36208.4,11.69,77,75.3333,78.3333,74.6667,77.3333,79.5
South Tama County,59,62,57,57,55,52,61,54,1578,2,0,1,0,32777.1,14.45,58,59.3333,54.3333,59.3333,54.6667,57.5
Independence,69,71,79,58,68,77,70,80,1543,2,0,1,0,37488.4,12.28,63.5,69.6667,78.6667,73,67.6667,75
Creston,70,67,83,57,66,77,*,*,1539,2,0,1,0,35442.7,14.07,63.5,*,*,73.3333,66.6667,*
Howard-Winneshiek,81,72,87,68,63,70,86,82,1521,2,0,1,0,34326,11.24,74.5,73.6667,79.6667,80,67,84
Maquoketa,50,72,72,48,71,69,74,73,1516,2,0,1,0,34817.5,14.57,49,72.3333,71.3333,64.6667,62.6667,73.5
Odebolt-Arthur,78,91,82,73,80,74,86,72,1496,2,0,1,0,37917,15.98,75.5,85.6667,76,83.6667,75.6667,79
Adel-DeSoto-Minburn,76,82,83,79,77,82,82,84,1494,2,0,1,0,34845.1,12.44,77.5,80.3333,83,80.3333,79.3333,83
Allamakee,72,77,72,59,72,69,76,76,1479,2,0,1,0,35761.8,13.15,65.5,75,72.3333,73.6667,66.6667,76
Clear Lake,69,80,71,62,78,70,77,81,1474,2,0,1,0,32757.1,10.81,65.5,78.3333,74,73.3333,70,79
Dallas Center-Grimes,80,82,85,79,72,81,82,89,1473,2,0,1,0,34019.5,8.25,79.5,78.6667,85,82.3333,77.3333,85.5
Clarke,59,70,73,61,64,70,65,78,1472,2,0,1,0,32944.1,12.63,60,66.3333,73.6667,67.3333,65,71.5
