Dist,Inc,Size,Y
27,4.45,5,1
72,7.69,4,1
44,10.04,4,5
23,8.97,4,4
89,9.15,5,2
58,5.8,5,5
84,4.94,4,2
62,5.05,1,1
10,2.89,4,8
77,4.21,3,0
91,2.93,3,0
72,5.46,5,0
54,7.98,2,3
34,7.39,1,6
94,4.71,4,1
98,6.55,4,0
90,3.61,3,0
63,10.42,4,0
19,7.36,2,5
34,2.67,3,1
45,3.76,4,5
91,8.71,5,1
40,6.32,3,3
78,5.64,2,4
76,7.51,2,0
64,7.24,5,5
62,9.13,1,1
20,7.98,4,3
119,3.61,5,0
50,3.21,3,2
81,6.55,1,1
38,2.66,2,3
29,6.68,4,3
100,5.6,1,1
78,9.69,5,0
46,7.82,5,4
56,7.34,2,0
34,5.39,1,2
63,8.36,5,4
34,5.95,1,1
120,6.86,1,1
85,9.5,2,1
25,8,2,2
37,8.29,5,8
21,8.57,4,7
88,6.29,3,0
66,5.08,1,2
48,5.82,2,1
90,7.39,2,1
57,6.61,4,2
109,9.88,2,0
57,7.96,3,2
19,3.86,2,1
79,3.15,3,0
30,9.64,3,5
48,3.56,2,3
41,6.18,2,0
49,5.79,2,3
59,6.89,2,0
72,2.74,2,2
76,8.85,5,3
110,9.83,4,0
47,6.38,1,0
88,7.47,3,0
10,5.39,4,3
21,10.54,5,7
64,10.39,3,2
46,7.89,4,4
44,5.4,2,4
79,3.74,4,3
116,6.02,2,0
84,2.93,3,1
95,10.29,5,2
17,6.68,4,7
98,2.76,4,0
91,4.21,5,6
86,3.81,5,2
118,3.95,3,0
85,10.5,2,1
87,6.93,1,1
53,8.89,1,2
70,2.69,1,0
44,9.94,2,6
54,6.77,5,4
42,6.73,3,4
27,3.07,5,6
62,9.9,2,0
57,3.96,2,1
117,8.33,4,0
101,5.97,1,1
94,7.42,3,2
46,4.25,1,5
84,8.84,2,2
20,4.02,1,5
102,5.33,3,0
50,9.24,5,5
52,10.53,2,4
52,4.51,4,6
100,5.18,3,1
84,8.77,1,3
35,7.45,5,5
78,9.2,4,0
90,9.5,5,0
97,7.19,5,0
49,6.69,3,0
43,3.18,5,4
96,5.48,1,0
37,6.09,5,4
65,9.55,2,1
50,7.46,4,7
34,3.6,3,4
108,9.68,4,1
20,3.78,5,5
77,8.77,3,0
86,7.53,2,1
106,5.45,1,0
20,4.08,5,2
29,7.61,3,3
102,8.68,4,2
45,8.73,2,2
87,9.52,1,3
18,3.72,3,7
96,4.63,4,1
38,8.1,4,4
54,9.13,3,4
42,2.75,2,2
105,10.59,3,2
12,4.44,3,9
74,9.53,1,1
108,8.96,5,0
12,7.33,3,5
90,5.88,3,0
28,9.08,2,2
102,3.42,5,0
45,5.87,1,1
45,6.15,4,1
112,7.77,1,0
83,8.1,4,1
35,2.96,3,3
80,8.34,5,1
104,5.13,5,0
78,7.24,4,3
55,3.19,2,0
25,4.2,5,2
78,4.02,4,0
87,8.78,5,3
111,8.85,3,2
36,10.01,1,4
116,8.12,5,0
36,3.84,3,6
104,6.88,5,2
60,3.79,1,4
114,8.42,1,2
56,6.95,2,1
66,4.33,5,2
65,5.34,4,4
105,5.95,2,0
66,9.9,2,0
94,9.96,4,1
113,6.03,2,0
93,9.04,3,1
51,8.13,3,3
87,5.35,2,1
22,10.09,4,5
46,4.88,4,0
99,2.63,4,2
14,5.99,4,3
14,10.25,5,10
89,9.14,2,1
103,6.55,4,1
20,4.24,3,5
32,10.21,2,3
109,5.9,5,1
55,8.39,5,3
94,3.61,2,2
64,8.4,3,1
110,4.41,1,1
99,3.69,3,0
36,9.05,1,3
46,10.31,2,4
115,2.87,4,0
25,9.9,2,5
63,2.87,4,2
94,6.45,1,1
24,9.64,3,2
73,5.92,4,1
25,6.06,1,6
91,4.31,5,2
81,3.54,4,5
118,7.32,4,0
86,4.2,2,0
86,6.98,1,0
97,6.93,5,4
41,6.72,3,3
77,4.01,1,0
111,6.81,2,0
70,7.94,1,0
66,3.36,2,1
30,3.69,5,5
115,3.38,4,0
12,7.46,3,3
100,7.61,1,0
71,9.22,1,1
37,10.43,1,1
35,3.78,4,3
110,3.68,5,2
76,8.01,5,1
119,6.3,5,2
70,6.39,1,0
104,5.74,2,0
38,9.91,2,5
70,6.04,4,2
88,6.51,4,1
30,5.82,5,4
76,7.18,1,2
73,4.91,5,0
54,8.27,5,5
28,5.09,3,4
64,6.74,4,2
28,4.99,1,3
37,6.41,1,1
19,9.14,3,4
59,7.78,3,1
102,7.71,4,0
34,9.62,3,2
14,4.2,5,7
88,10.37,1,1
113,7.22,5,0
72,5.81,4,1
42,4.72,3,2
18,9.3,2,4
58,5.4,5,3
91,5.98,4,0
67,8.86,4,1
94,4.35,4,3
39,3.3,5,2
79,8.16,4,1
103,9.16,2,3
91,8.24,5,1
101,9.41,4,2
59,7.58,2,0
25,4.52,3,3
11,7.37,3,7
21,8.85,3,6
40,5.86,5,1
23,3.94,4,13
58,10.07,1,1
24,8.99,1,3
32,10.1,4,3
118,4.14,2,2
