Date,Time,Close
1/2/02,2,72.5
1/3/02,3,75
1/4/02,4,73
1/7/02,7,73
1/8/02,8,71.8
1/9/02,9,71.1
1/10/02,10,70.5
1/11/02,11,70.6
1/14/02,14,70.31
1/15/02,15,70.2
1/16/02,16,72.3
1/17/02,17,72.5
1/18/02,18,71.51
1/21/02,21,71.01
1/22/02,22,71
1/23/02,23,71
1/24/02,24,71.25
1/25/02,25,71
1/28/02,28,72.84
1/29/02,29,73
1/30/02,30,71.4
1/31/02,31,73.25
2/1/02,32,71.5
2/4/02,35,71.65
2/5/02,36,73.13
2/6/02,37,71.51
2/7/02,38,72
2/8/02,39,71.5
2/11/02,42,71.75
2/12/02,43,72
2/13/02,44,71.1
2/14/02,45,70.9
2/15/02,46,71
2/18/02,49,71
2/19/02,50,71.5
2/21/02,52,70.7
2/22/02,53,70.9
2/25/02,56,71.5
2/26/02,57,70.75
2/27/02,58,70.75
2/28/02,59,70.8
3/1/02,60,70.75
3/4/02,63,70.75
3/5/02,64,70.7
3/6/02,65,70.4
3/8/02,67,70.5
3/11/02,70,70.5
3/12/02,71,70.3
3/13/02,72,70.25
3/14/02,73,70.35
3/18/02,77,70.3
3/19/02,78,70.4
3/20/02,79,70.25
3/21/02,80,70.1
3/22/02,81,70.25
3/25/02,84,70.25
3/26/02,85,70.25
3/27/02,86,70.25
3/28/02,87,70.4
4/2/02,92,70.4
4/3/02,93,70.2
4/4/02,94,72
4/5/02,95,72
4/8/02,98,77
4/9/02,99,75.6
4/10/02,100,75.5
4/11/02,101,79.1
4/12/02,102,79
4/16/02,106,74.05
4/17/02,107,74.1
4/18/02,108,76
4/19/02,109,76
4/23/02,113,74.5
4/25/02,115,75.55
4/26/02,116,75
4/29/02,119,76.31
4/30/02,120,79
5/2/02,122,77.5
5/3/02,123,76.9
5/6/02,126,75.55
5/8/02,128,74.5
5/10/02,130,77
5/13/02,133,77.38
5/14/02,134,75.52
5/15/02,135,75.8
5/16/02,136,78.9
5/17/02,137,80.89
5/21/02,141,80.5
5/22/02,142,78.05
5/23/02,143,79.3
5/24002,144,78
5/27/02,147,80
5/28/02,148,79.95
5/29/02,149,79.95
5/31/02,151,78.2
6/3/02,154,79.6
6/4/02,155,79.23
6/5/02,156,78.25
6/6/02,157,78.2
6/7/02,158,78.2
6/10/02,61,79.5
6/11/02,162,78.1
6/12/02,163,78.1
6/13/02,164,78.15
6/14/02,165,78.15
6/17/02,168,78.1
6/18/02,169,78
6/19/02,170,77.45
6/20/02,171,76.25
6/21/02,172,79
6/24/02,175,76.51
6/25/02,176,78.34
6/26/02,177,76.2
6/27/02,178,75.52
6/28/02,179,78.4
7/1/02,182,76
7/2/02,183,75
7/3/02,184,75.26
7/4/02,185,77.5
7/5/02,186,76
7/8/02,189,77.5
7/9/02,190,77
7/11/02,192,75.8
7/12/02,193,77.98
7/15/02,196,75.6
7/16/02,197,77.98
7/17/02,198,77.98
7/18/02,199,76.05
7/23/02,204,76.05
7/24/02,205,77.5
7/25/02,206,76
7/26/02,207,77.5
7/29/02,210,74
7/30/02,211,76.8
8/1/02,213,76
8/5/02,217,76.8
8/6/2002,218,76.42
8/9/2002,221,76.8
8/12/02,224,76.36
8/13/02,225,74.5
8/14/02,226,74.1
8/16/02,228,75.5
8/19/02,231,75.5
8/21/02,233,75.5
8/22/02,234,75.5
8/23/02,235,75.5
8/26/02,238,74
8/27/02,239,74
8/28/02,240,76.25
8/29/02,241,74.5
8/30/02,242,75.75
9/2/2002,245,74
9/3/2002,246,75
9/4/2002,247,74
9/5/2002,248,74
9/9/2002,252,77
9/10/02,253,76
9/11/02,254,76.29
9/12/02,255,74.15
9/13/02,256,74
9/18/02,261,71
9/19/02,262,74.7
9/20/02,263,74
9/23/02,266,73
9/24/02,267,72.25
9/25/02,268,71.05
9/27/02,270,74.65
9/30/02,273,75.75
10/2/02,275,78.7
10/3/02,276,76.01
10/4/02,277,77.7
10/8/02,281,74.25
10/9/02,282,73.6
10/11/02,284,73.65
10/14/02,287,73.5
10/15/02,288,73
10/16/02,289,72.2
10/17/02,290,72.2
10/18/02,291,72.2
10/24/02,297,72.1
10/28/02,301,72
10/29/02,302,73.75
10/31/02,304,72
11/4/02,308,72.4
11/5/02,309,72.99
11/6/02,310,72.99
11/7/02,311,72.77
11/8/02,312,72.77
11/11/02,315,72.99
11/12/02,316,71.75
11/13/02,317,71.76
11/20/02,324,71.45
11/21/02,325,72.79
11/26/02,330,72.45
11/28/02,332,77.5
11/29/02,333,78.2
12/2/02,336,80.5
12/3/02,337,80
12/4/02,338,79.2
12/5/02,339,79.11
12/6/02,340,78
12/9/02,343,80.96
12/10/02,344,79.03
12/11/02,345,81
12/12/02,346,81
12/13/02,347,81.49
12/16/02,350,81.99
12/17/02,351,82.84
12/18/02,352,84.49
12/19/02,353,85.25
12/20/02,354,86.4
12/23/02,357,88
12/27/02,361,90.64
12/30/02,364,89.5
