SA,Time,SuitCr,EchoCov,EchoMot,PreWet,Rain
0,0,1.75,13.4,2,.274,12.85
1,1,2.7,37.9,1,1.267,5.52
1,3,4.1,3.9,2,.198,6.29
0,4,2.35,5.3,1,.526,6.11
1,6,4.25,7.1,1,.25,2.45
0,9,1.6,6.9,2,.018,3.61
0,18,1.3,4.6,1,.307,.47
0,25,3.35,4.9,1,.194,4.56
0,27,2.85,12.1,1,.751,6.35
1,28,2.2,5.2,1,.084,5.06
1,29,4.4,4.1,1,.236,2.76
1,32,3.1,2.8,1,.214,4.05
0,33,3.95,6.8,1,.796,5.74
1,35,2.9,3,1,.124,4.84
1,38,2.05,7,1,.144,11.86
0,39,4,11.3,1,.398,4.45
0,53,3.35,4.2,2,.237,3.66
1,55,3.7,3.3,1,.96,4.22
0,56,3.8,2.2,1,.23,1.16
1,59,3.4,6.5,2,.142,5.45
1,65,3.15,3.1,1,.073,2.02
0,68,3.15,2.6,1,.136,.82
1,82,4.01,8.3,1,.123,1.09
0,83,4.65,7.4,1,.168,.28
