Year,Qtr,Sales1,Sales2,Sales3,Sales4,AutoPro,ChemInd,IndEqIn
1994,1,391.484,12.1774,185.597,20,3.94329,101.555,113.257
1994,2,439.438,11.6094,199.984,20.1719,4.10263,104.844,115.588
1994,3,405.381,11.7619,192.825,22.6349,3.34444,104.769,117.3
1994,4,417.176,12.2941,209.25,28.7353,3.89165,103.826,119.648
1995,1,452.143,19.0794,228.095,29.746,4.10214,108.015,124.513
1995,2,393.156,15.5938,240.281,28.3281,3.93404,107.591,125.111
1995,3,403.419,16.5806,237.661,31.0968,3.19297,104.553,128.057
1995,4,443.677,19.9355,241.339,30.6613,3.69987,102.02,129.813
1996,1,429.359,11.3438,243.188,31.2656,3.72155,102.776,130.424
1996,2,437.75,11.4219,264.734,32.9219,4.23639,104.707,130.592
1996,3,434.258,14.4355,263.919,33.3226,3.51319,105.529,130.996
1996,4,461.048,19.1774,256.468,34.1935,3.63806,106.811,132.022
1997,1,439.565,16.129,251.516,34.6129,3.98754,110.398,134.551
1997,2,463.077,17.4462,293.646,37.2923,4.10373,111.482,135.94
1997,3,440.302,17.0794,296.286,35.3333,3.50012,112.496,137.971
1997,4,449.306,18.2258,282.274,40.1613,4.026,113.475,139.388
1998,1,469.242,17.1129,269.726,34.629,4.05635,114.492,138.52
1998,2,452.063,13.2188,281.766,42.1563,3.96598,114.556,138.134
1998,3,399.127,15.0952,261.587,28.0159,3.39117,110.618,139.66
1998,4,473.066,17.3934,314.852,34.3607,4.15737,109.197,137.933
1999,1,427.677,14.2154,305.077,35.6615,4.35367,112.66,135.662
1999,2,476.563,16.6875,312.578,41.9375,4.5001,117.656,134.934
1999,3,472.661,16.9839,305.419,44.871,3.90047,115.985,135.5
1999,4,466.647,20.3971,296.118,40.6176,4.28279,119.506,136.32
2000,1,480.2,23.3692,317.538,46.2308,4.65755,119.219,141.64
2000,2,498.031,23.0313,308.703,44.25,4.67818,120.355,143.446
2000,3,445.694,23.2419,329.468,49.8548,3.8579,116.129,146.991
2000,4,417.726,29.1129,287.952,44.7903,3.97822,112.136,146.144
2001,1,409.969,22.2864,245.285,37.9138,3.91828,107.045,134.013
2001,2,399.444,9.4418,268.266,35.6807,4.24979,101.799,127.045
2001,3,386.098,5.121,247.031,33.5933,3.4793,101.157,121.842
2001,4,393.686,7.2955,202.202,33.3136,3.83779,101.037,117.61
2002,1,426.159,10.1111,220.683,32.6984,4.06929,104.129,113.992
2002,2,470.563,13.1094,243.156,42.875,4.55692,108.863,115.461
2002,3,407.349,12.5873,208.143,39.619,3.84912,109.395,115.91
