store,week,sp6pk,sp12pk,sp24pk,sc6pk,sc12pk,sc24pk,pp6pk,pp12pk,pp24pk,pc6pk,pc12pk,pc24pk,holiday,holidayind
24,1,936,3600,11232,1224,43344,4032,0.0388,0.0381,0.0229,0.0388,0.0194,0.0277,0,0
24,2,1296,60768,5472,1728,3312,3744,0.0388,0.0208,0.0277,0.0388,0.0381,0.0277,0,0
24,3,13608,7344,12960,10296,4608,4608,0.0276,0.0381,0.0277,0.0274,0.0371,0.0277,0,0
24,4,2232,7920,7776,2232,6480,4320,0.0388,0.0381,0.0277,0.0361,0.0370,0.0277,0,0
24,5,1008,307440,2304,1152,180288,1152,0.0388,0.0173,0.0277,0.0356,0.0173,0.0277,0,0
24,6,1584,8208,8064,2520,6912,5472,0.0388,0.0381,0.0277,0.0364,0.0364,0.0277,0,0
24,7,1224,146304,7488,2376,2160,133920,0.0388,0.0208,0.0277,0.0352,0.0315,0.0208,1,1
24,8,1512,117504,4320,1656,41328,2016,0.0388,0.0208,0.0277,0.0380,0.0208,0.0277,0,0
24,9,1440,38160,5184,1368,19728,2016,0.0360,0.0208,0.0236,0.0338,0.0239,0.0236,0,0
24,10,1440,212256,2880,2232,159840,4032,0.0360,0.0166,0.0236,0.0333,0.0166,0.0236,0,0
24,11,792,16992,9792,1440,14832,4032,0.0360,0.0242,0.0236,0.0360,0.0243,0.0236,2,1
24,12,11232,7344,13824,9360,3888,8352,0.0249,0.0242,0.0236,0.0249,0.0242,0.0236,0,0
24,13,1152,6624,13248,576,17136,2592,0.0360,0.0242,0.0236,0.0360,0.0228,0.0277,0,0
24,14,1008,3456,753408,1080,10080,6912,0.0360,0.0242,0.0139,0.0360,0.0243,0.0277,0,0
24,15,1584,10800,11808,1440,120816,3456,0.0360,0.0242,0.0236,0.0360,0.0138,0.0277,3,1
24,16,720,7344,14976,2736,6912,6048,0.0360,0.0242,0.0236,0.0360,0.0244,0.0277,4,1
24,17,23472,5616,10080,16416,1728,5760,0.0360,0.0242,0.0236,0.0360,0.0245,0.0277,0,0
24,18,1728,7344,6912,1224,5904,9792,0.0360,0.0242,0.0236,0.0360,0.0245,0.0277,0,0
24,19,1008,19008,12960,1440,15120,9216,0.0360,0.0242,0.0236,0.0360,0.0242,0.0277,0,0
24,20,1224,5184,63936,1584,5760,8064,0.0360,0.0242,0.0208,0.0360,0.0244,0.0277,0,0
24,21,864,5616,19008,1368,5184,8064,0.0388,0.0242,0.0236,0.0388,0.0244,0.0277,0,0
24,22,6984,8928,17280,10080,6336,9216,0.0277,0.0242,0.0236,0.0277,0.0243,0.0277,0,0
24,23,1368,7632,23040,1584,6480,12960,0.0388,0.0242,0.0236,0.0388,0.0243,0.0277,5,1
24,24,1080,12672,18720,1224,5760,9792,0.0388,0.0242,0.0236,0.0388,0.0244,0.0277,0,0
24,25,1152,11952,18144,2088,7344,4608,0.0388,0.0242,0.0236,0.0388,0.0244,0.0277,0,0
24,26,1296,70704,10944,1512,50112,6048,0.0388,0.0208,0.0236,0.0388,0.0208,0.0277,0,0
24,27,1152,10800,13248,1800,4896,5184,0.0388,0.0242,0.0236,0.0388,0.0244,0.0277,0,0
24,28,1584,54576,8064,1152,32256,5184,0.0388,0.0208,0.0236,0.0388,0.0208,0.0277,6,1
24,29,70200,4464,12672,2592,5040,7200,0.0194,0.0242,0.0236,0.0276,0.0243,0.0277,0,0
24,30,1368,4464,91008,2448,7344,9216,0.0388,0.0242,0.0236,0.0388,0.0245,0.0277,0,0
24,31,1152,3024,128736,2160,7056,4608,0.0388,0.0242,0.0173,0.0388,0.0242,0.0236,0,0
24,32,45576,3888,4320,1728,6048,5760,0.0208,0.0242,0.0236,0.0388,0.0245,0.0236,0,0
24,33,2952,4608,14112,2808,4896,7776,0.0388,0.0242,0.0236,0.0388,0.0245,0.0236,0,0
24,34,13176,2880,9216,2520,18576,4896,0.0276,0.0242,0.0236,0.0388,0.0228,0.0236,0,0
24,35,195840,3744,3456,134928,2304,1728,0.0173,0.0242,0.0236,0.0173,0.0243,0.0236,0,0
24,36,936,10368,10368,1080,18864,5184,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,0,0
24,37,1296,6336,39744,432,132912,1728,0.0388,0.0242,0.0225,0.0388,0.0208,0.0236,7,1
24,38,1368,14832,7488,648,2016,4896,0.0388,0.0228,0.0236,0.0388,0.0208,0.0236,0,0
24,39,1584,8496,35136,1368,13104,8928,0.0388,0.0242,0.0236,0.0388,0.0242,0.0236,0,0
24,40,119160,3024,12096,1224,8784,10944,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,0,0
24,41,*,*,*,*,*,*,*,*,*,*,*,*,*,*
24,42,*,*,*,*,*,*,*,*,*,*,*,*,*,*
24,43,*,8640,*,1080,6048,7488,*,0.0242,*,0.0388,0.0243,0.0236,0,0
24,44,*,*,*,*,*,*,*,*,*,*,*,*,*,*
24,45,77328,3888,14112,38304,3600,6912,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,0,0
24,46,1008,3024,88416,1152,3168,45792,0.0388,0.0242,0.0208,0.0388,0.0244,0.0208,0,0
24,47,1008,24768,30528,2736,18000,12960,0.0388,0.0242,0.0236,0.0276,0.0243,0.0236,0,0
24,48,216,62352,6912,504,41472,2304,0.0388,0.0242,0.0236,0.0388,0.0242,0.0236,0,0
24,49,*,*,*,*,*,*,*,*,*,*,*,*,*,*
24,50,1152,8352,14976,1368,6912,8352,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,0,0
24,51,576,2448,639072,1728,7488,5184,0.0388,0.0242,0.0169,0.0388,0.0243,0.0236,9,1
24,52,720,6336,11808,1368,4752,6048,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,0,0
24,53,53928,3312,13536,2088,7920,6336,0.0388,0.0242,0.0236,0.0304,0.0243,0.0236,0,0
24,54,936,16128,10368,864,8928,7776,0.0388,0.0228,0.0236,0.0388,0.0242,0.0236,0,0
24,55,1296,2016,418752,1296,6624,4320,0.0388,0.0242,0.0173,0.0388,0.0243,0.0236,0,0
24,56,59760,1152,6912,57960,864,3456,0.0388,0.0242,0.0236,0.0388,0.0242,0.0236,0,0
24,57,936,12816,11520,216,191808,1152,0.0388,0.0235,0.0236,0.0388,0.0173,0.0236,0,0
24,58,61560,1728,5760,41328,1008,2592,0.0193,0.0242,0.0236,0.0193,0.0242,0.0236,0,0
24,59,864,11376,25920,648,11664,7776,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,1,1
24,60,432,76176,4896,216,52560,2304,0.0388,0.0208,0.0236,0.0388,0.0208,0.0236,0,0
24,61,73008,2592,9504,49608,2160,2880,0.0388,0.0242,0.0236,0.0388,0.0242,0.0236,0,0
24,62,1152,3024,580032,1656,4032,296640,0.0388,0.0242,0.0166,0.0388,0.0245,0.0166,0,0
24,63,43560,5472,29664,32112,5328,13824,0.0193,0.0242,0.0236,0.0193,0.0243,0.0236,2,1
24,64,1872,85680,4032,432,58464,864,0.0388,0.0208,0.0236,0.0388,0.0208,0.0236,0,0
24,65,89424,2592,4896,65304,3168,2016,0.0193,0.0242,0.0236,0.0193,0.0243,0.0236,0,0
24,66,936,8928,19296,1440,9360,8064,0.0388,0.0242,0.0236,0.0388,0.0243,0.0236,0,0
24,67,864,3456,366912,864,4896,190944,0.0388,0.0242,0.0163,0.0388,0.0243,0.0163,3,1
24,68,62208,3744,3744,576,52272,4032,0.0194,0.0242,0.0236,0.0388,0.0194,0.0236,4,1
24,69,18720,7920,33120,9216,10656,13536,0.0277,0.0242,0.0236,0.0277,0.0243,0.0236,0,0
24,70,864,11232,37152,1440,8064,18720,0.0401,0.0242,0.0236,0.0401,0.0243,0.0236,0,0
24,71,51984,1584,4320,138168,14976,3168,0.0179,0.0242,0.0236,0.0179,0.0243,0.0236,0,0
24,72,504,5040,55584,288,130752,2016,0.0401,0.0256,0.0208,0.0401,0.0180,0.0243,0,0
24,73,936,8784,17856,576,8208,8064,0.0401,0.0256,0.0236,0.0401,0.0256,0.0243,0,0
24,74,99288,3024,5184,720,7632,5472,0.0200,0.0256,0.0236,0.0401,0.0256,0.0243,0,0
24,75,288,8784,16128,288,61056,2592,0.0401,0.0256,0.0236,0.0401,0.0208,0.0243,5,1
24,76,1224,40320,10368,1152,4752,15552,0.0401,0.0235,0.0236,0.0401,0.0256,0.0243,0,0
24,77,198936,1728,4320,109224,1728,2016,0.0165,0.0256,0.0236,0.0165,0.0256,0.0243,0,0
24,78,1656,46368,2592,576,33264,1728,0.0401,0.0208,0.0236,0.0401,0.0208,0.0243,0,0
24,79,20520,13680,16704,12384,10800,5472,0.0276,0.0256,0.0236,0.0276,0.0256,0.0243,0,0
24,80,1008,34992,12096,216,29952,4032,0.0401,0.0242,0.0236,0.0401,0.0242,0.0243,0,0
24,81,936,4608,318816,792,3168,127296,0.0401,0.0242,0.0166,0.0401,0.0242,0.0166,6,1
24,82,53064,2736,4032,36720,1872,3168,0.0200,0.0256,0.0236,0.0200,0.0256,0.0243,0,0
24,83,72,67680,6912,432,47232,2016,0.0401,0.0208,0.0236,0.0401,0.0208,0.0243,0,0
24,84,648,6048,36576,1152,5760,13824,0.0401,0.0256,0.0236,0.0401,0.0256,0.0243,0,0
24,85,49536,1872,33120,42408,2736,3168,0.0208,0.0256,0.0236,0.0208,0.0256,0.0243,0,0
24,86,864,4608,235872,1296,4320,61632,0.0401,0.0256,0.0208,0.0401,0.0256,0.0208,0,0
24,87,20736,5760,16992,12816,6768,7200,0.0277,0.0256,0.0243,0.0277,0.0256,0.0243,0,0
24,88,720,6912,16128,1296,6624,10656,0.0401,0.0256,0.0243,0.0401,0.0256,0.0243,0,0
24,89,1080,3312,362016,1008,1440,164160,0.0401,0.0256,0.0166,0.0401,0.0256,0.0166,7,1
24,90,56808,2592,9504,23112,4752,1728,0.0207,0.0256,0.0243,0.0207,0.0256,0.0243,0,0
24,91,720,11520,20448,1152,12528,11520,0.0401,0.0256,0.0243,0.0401,0.0256,0.0243,0,0
24,92,216,93312,4896,288,63792,4032,0.0401,0.0208,0.0243,0.0401,0.0208,0.0243,0,0
24,93,19872,5184,12096,13824,4752,6912,0.0221,0.0256,0.0243,0.0221,0.0256,0.0243,0,0
24,94,1224,3888,228960,1728,2880,119808,0.0401,0.0256,0.0173,0.0401,0.0256,0.0173,0,0
24,95,576,6768,33120,1008,5184,20736,0.0401,0.0256,0.0243,0.0401,0.0256,0.0243,8,1
24,96,1368,33120,12384,864,19296,3168,0.0401,0.0228,0.0243,0.0401,0.0228,0.0243,0,0
24,97,97776,288,32544,78696,1584,19872,0.0401,0.0256,0.0243,0.0401,0.0256,0.0246,0,0
24,98,1224,8208,294624,1728,5328,156384,0.0401,0.0256,0.0243,0.0401,0.0256,0.0243,0,0
24,99,43632,3888,14976,33912,4176,10944,0.0221,0.0256,0.0243,0.0221,0.0256,0.0243,0,0
24,100,432,87120,8640,504,58176,3168,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,101,*,*,*,*,*,*,*,*,*,*,*,*,*,*
24,102,15408,8064,22176,9648,6624,8640,0.0221,0.0256,0.0243,0.0221,0.0256,0.0243,0,0
24,103,936,1008,265824,1224,2448,173952,0.0304,0.0256,0.0166,0.0304,0.0256,0.0166,9,1
24,104,360,29376,9792,864,27216,3744,0.0304,0.0228,0.0243,0.0304,0.0228,0.0243,0,0
24,105,792,8784,41472,1584,8496,27072,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,106,35208,4176,42336,27864,3024,18144,0.0207,0.0256,0.0243,0.0207,0.0256,0.0243,0,0
24,107,1080,10800,13248,1512,9216,10368,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,108,18144,5760,14688,10872,3888,6336,0.0235,0.0256,0.0243,0.0235,0.0256,0.0243,0,0
24,109,720,82368,7200,576,19584,4320,0.0304,0.0201,0.0243,0.0304,0.0228,0.0243,0,0
24,110,1152,4896,219168,864,4320,135648,0.0304,0.0256,0.0208,0.0304,0.0256,0.0208,0,0
24,111,504,77616,6912,432,51696,3744,0.0304,0.0194,0.0243,0.0304,0.0194,0.0243,0,0
24,112,20952,3024,12672,14184,5184,7776,0.0221,0.0256,0.0243,0.0221,0.0256,0.0243,1,1
24,113,1440,9792,13536,1512,11952,13248,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,114,1872,10512,18432,864,9072,10944,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,115,936,2592,506016,1368,3600,338112,0.0304,0.0256,0.0173,0.0304,0.0256,0.0173,0,0
24,116,9936,2448,30816,6696,2160,23040,0.0221,0.0256,0.0189,0.0221,0.0256,0.0194,2,1
24,117,864,7632,19296,720,5328,10656,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,118,504,59040,6336,360,45936,4608,0.0304,0.0195,0.0243,0.0304,0.0201,0.0243,0,0
24,119,936,98208,9504,1440,68112,7488,0.0304,0.0173,0.0243,0.0304,0.0173,0.0243,3,1
24,120,1008,11232,17856,2592,8352,11808,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,4,1
24,121,432,38736,6912,792,29232,3744,0.0304,0.0228,0.0243,0.0304,0.0228,0.0243,0,0
24,122,1152,12384,20160,576,8496,12672,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,0,0
24,123,4032,4176,132768,3240,2592,65664,0.0304,0.0256,0.0208,0.0304,0.0256,0.0208,0,0
24,124,1008,4608,59616,1008,3024,36288,0.0304,0.0256,0.0213,0.0304,0.0256,0.0212,0,0
24,125,16704,5040,14112,11952,4032,10368,0.0249,0.0256,0.0243,0.0249,0.0256,0.0243,0,0
24,126,504,48672,6912,1224,46800,2304,0.0304,0.0208,0.0243,0.0304,0.0208,0.0243,0,0
24,127,12024,7632,16416,8352,3600,6624,0.0276,0.0256,0.0243,0.0276,0.0256,0.0243,0,0
24,128,792,4464,118944,1008,3024,52128,0.0304,0.0256,0.0243,0.0304,0.0256,0.0243,5,1
24,129,792,31392,13824,720,19296,6912,0.0304,0.0242,0.0243,0.0304,0.0242,0.0243,0,0
